"행정구역","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"전국  (1000000000)","51,638,809","23,472,895","          2.20","25,746,684","25,892,125","          0.99"
"서울특별시  (1100000000)","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94"
"부산광역시  (2600000000)","3,350,380","1,544,663","          2.17","1,639,044","1,711,336","          0.96"
"대구광역시  (2700000000)","2,385,412","1,063,893","          2.24","1,175,632","1,209,780","          0.97"
"인천광역시  (2800000000)","2,948,375","1,298,647","          2.27","1,476,373","1,472,002","          1.00"
"광주광역시  (2900000000)","1,441,611","645,712","          2.23","713,015","728,596","          0.98"
"대전광역시  (3000000000)","1,452,251","664,417","          2.19","724,626","727,625","          1.00"
"울산광역시  (3100000000)","1,121,592","482,650","          2.32","576,217","545,375","          1.06"
"세종특별자치시  (3600000000)","371,895","153,649","          2.42","185,678","186,217","          1.00"
"경기도  (4100000000)","13,565,450","5,841,995","          2.32","6,827,298","6,738,152","          1.01"
"강원도  (4200000000)","1,538,492","746,220","          2.06","774,332","764,160","          1.01"
"충청북도  (4300000000)","1,597,427","760,672","          2.10","810,672","786,755","          1.03"
"충청남도  (4400000000)","2,119,257","1,001,915","          2.12","1,083,366","1,035,891","          1.05"
"전라북도  (4500000000)","1,786,855","849,001","          2.10","888,994","897,861","          0.99"
"전라남도  (4600000000)","1,832,803","903,108","          2.03","922,221","910,582","          1.01"
"경상북도  (4700000000)","2,626,609","1,276,846","          2.06","1,323,661","1,302,948","          1.02"
"경상남도  (4800000000)","3,314,183","1,505,971","          2.20","1,668,338","1,645,845","          1.01"
"제주특별자치도  (5000000000)","676,759","307,529","          2.20","339,177","337,582","          1.00"
